Moon name,Semi-major axis (10^3 km),Orbital period (days),Radius (km)
Io (JI),421.8,1.7691,1821.5
Europa (JII),671.1,3.5512,1560.8
Ganymede (JIII),1070.4,7.1546,2631.2
Callisto (JIV),1882.7,16.689,2410.3
"Metis (JXVI, S/1979 J3)",128,0.2948,3400
"Adrastea (JXV, S/1979 J1)",129,0.2983,186.6666667
Amalthea (JV),181.4,0.4982,1946.666667
"Thebe (JXIV, S/1979 J2)",221.9,0.6745,3978.8
"Themisto (JXVIII, S/1975 J1)",7507,130.02,4
Leda (JXIII),11170,240.92,5
Himalia (JVI),11460,250.5662,85
Lysithea (JX),11720,259.22,12
Elara (JVII),11740,259.6528,40
S/2000 J11,12560,287,2
"Carpo (XLVI, S/2003 J20)",16990,456.1,3
"Euporie (JXXXIV, S/2001 J10)",19390,553.1R,1
"Orthosie (JXXXV, S/2001 J9)",20720,622.6R,1
"Euanthe (JXXXIII, S/2001 J7)",20800,620.6R,1.5
"Thyone (JXXIX, S/2001 J2)",20940,627.3R,2
"Mneme (JXL, S/2003 J21)",21070,620.0R,2
"Harpalyke (JXXII, S/2000 J5)",21110,623.3R,2.2
"Hermippe (JXXX, S/2001 J3)",21130,633.9R,2
"Praxidike (JXXVII, S/2000 J7)",21150,625.3R,3.4
"Thelxinoe (XLII, S/2003 J22)",21160,628.1R,2
"Helike (XLV, S/2003 J6)",21260,634.8R,4
"Iocaste (JXXIV, S/2000 J3)",21270,631.5R,2.6
Ananke (JXII),21280,629.8R,10
"Eurydome (JXXXII, S/2001 J4)",22870,717.3R,2
"Arche (XLIII, S/2002 J1)",22930,723.9R,1.5
"Autonoe (JXXVIII, S/2001 J1)",23040,762.7R,1.5
"Herse (L, S/2003 J17)",23097,715.4R,2
"Pasithee (JXXXVIII, S/2001 J6)",23100,716.3R,1
"Chaldene (JXXI, S/2000 J10)",23180,723.8R,1.9
"Kale (JXXXVII, S/2001 J8)",23220,729.5R,1
"Isonoe (JXXVI, S/2000 J6)",23220,725.5R,1.9
"Aitne (JXXXI, S/2001 J11)",23230,730.2R,1.5
"Erinome (JXXV, S/2000 J4)",23280,728.3R,1.6
"Taygete (JXX, S/2000 J9)",23360,732.2R,2.5
Carme (JXI),23400,734.2R,15
"Sponde (JXXXVI, S/2001 J5)",23490,748.3R,1
"Kalyke (JXXIII, S/2000 J2)",23580,743.0R,2.6
Pasiphae (JVIII),23620,743.6R,18
"Eukelade (XLVII, S/2003 J1)",23660,746.4R,4
"Megaclite (JXIX, S/2000 J8)",23810,752.8R,2.7
Sinope (JIX),23940,758.9R,14
"Hegemone (JXXXIX, S/2003 J8)",23950,739.6R,3
"Aoede (XLI, S/2003 J7)",23980,761.5R,4
"Kallichore (XLIV, S/2003 J11)",24040,764.7R,2
"Callirrhoe (JXVII, S/1999 J1)",24100,758.8R,4
"Cyllene (XLVIII, S/2003 J13)",24350,737.8R,2
"Kore (XLIX, S/2003 J14)",24540,779.2R,2
S/2003 J2,28570,982.5R,2
S/2003 J3,18340,504.0R,2
S/2003 J4,23260,723.2R,2
S/2003 J5,24080,759.7R,2
S/2003 J9,22440,683.0R,4
S/2003 J10,24250,767.0R,1
S/2003 J12,19000,533.3R,2
S/2003 J15,22000,668.4R,1
S/2003 J16,21000,595.4R,2
S/2003 J18,20700,606.3R,2
S/2003 J19,22800,701.3R,2
S/2003 J23,24060,759.7R,2
S/2010 J1,23314,723.2R,2
S/2010 J2,20307,588.1R,2
S/2011 J1,20155,580.7R,2
S/2011 J2,23330,726.8R,2
S/2016 J1,20651,602.7R,2
S/2016 J2,18980,533.3,1
S/2017 J1,23587,734.2R,1
S/2017 J2,23303,723.1R,2
S/2017 J3,20694,606.3R,2
S/2017 J4,11525,252.1,2
S/2017 J5,23232,719.5R,3
S/2017 J6,22455,683.0R,2
S/2017 J7,20627,602.6R,2
S/2017 J8,23233,719.6R,2
S/2017 J9,21487,639.2R,1
S/2018 J1,11483,252,3
